Epoch,Steps,Time,Eval/ReturnMean,Eval/ReturnStd,Eval/ReturnMax,Eval/ReturnMin,Eval/EpisodeLengthMean,Eval/EpisodeLengthStd
0,,2025-09-19T16:59:21,4968.73369140625,195.50886267993394,5264.7451171875,4538.78857421875,1000.0,0.0
1,10000,2025-09-19T17:00:09,1227.0306067943575,1610.0893546661073,4325.78662109375,-325.0632629394531,1000.0,0.0
2,20000,2025-09-19T17:00:38,4232.624194335937,274.6538988010053,4764.22314453125,3819.653076171875,1000.0,0.0
3,30000,2025-09-19T17:01:08,4148.907617187499,290.39952811931073,4663.51611328125,3607.47314453125,1000.0,0.0
4,40000,2025-09-19T17:01:39,4442.207104492188,280.8589067746962,4772.49267578125,3773.176513671875,1000.0,0.0
5,50000,2025-09-19T17:02:09,4878.6228515625,168.58089926111643,5159.1796875,4595.7138671875,1000.0,0.0
6,60000,2025-09-19T17:02:40,4885.277978515624,127.64604348831112,5060.4287109375,4705.96435546875,1000.0,0.0
7,70000,2025-09-19T17:03:11,4970.168505859375,154.8672276015725,5170.708984375,4680.02783203125,1000.0,0.0
8,80000,2025-09-19T17:03:40,4892.679833984375,132.33792337890736,5004.15576171875,4581.85009765625,1000.0,0.0
9,90000,2025-09-19T17:04:10,5124.421484375,122.47891424617774,5279.796875,4974.099609375,1000.0,0.0
10,100000,2025-09-19T17:04:40,4998.937353515625,90.58224652823375,5169.8251953125,4861.2080078125,1000.0,0.0
11,110000,2025-09-19T17:05:11,5003.9373046875,111.3473665093876,5173.54443359375,4840.74462890625,1000.0,0.0
12,120000,2025-09-19T17:05:41,4910.9783203125,204.4494207285058,5162.89892578125,4573.36279296875,1000.0,0.0
13,130000,2025-09-19T17:06:12,5133.787890625,96.63861476053643,5237.1220703125,4912.744140625,1000.0,0.0
14,140000,2025-09-19T17:06:44,5198.239501953125,80.79886743716807,5328.59423828125,5089.17529296875,1000.0,0.0
15,150000,2025-09-19T17:07:16,5119.425244140626,73.54510542651045,5286.802734375,5036.556640625,1000.0,0.0
16,160000,2025-09-19T17:07:47,5227.044189453125,90.85128235322482,5362.7841796875,5084.8232421875,1000.0,0.0
17,170000,2025-09-19T17:08:19,5122.180810546874,91.46729077449982,5231.49169921875,4969.28955078125,1000.0,0.0
18,180000,2025-09-19T17:08:51,5080.953173828124,95.09972317909963,5193.58203125,4968.4951171875,1000.0,0.0
19,190000,2025-09-19T17:09:26,5048.145947265625,153.28778081381344,5204.15185546875,4724.53369140625,1000.0,0.0
20,200000,2025-09-19T17:10:00,5027.205908203125,151.6869186430831,5172.162109375,4809.63232421875,1000.0,0.0
21,210000,2025-09-19T17:10:32,4978.890673828125,140.0423573378749,5182.421875,4717.53369140625,1000.0,0.0
22,220000,2025-09-19T17:11:04,4996.934033203125,123.68461092698074,5212.60693359375,4824.830078125,1000.0,0.0
23,230000,2025-09-19T17:11:35,5145.412060546875,121.92073699509372,5327.51220703125,4952.68994140625,1000.0,0.0
24,240000,2025-09-19T17:12:06,5125.9927734375,94.10224533281625,5267.611328125,4991.439453125,1000.0,0.0
25,250000,2025-09-19T17:12:36,4977.5666015625,212.44794161967954,5241.33154296875,4462.84912109375,1000.0,0.0
26,260000,2025-09-19T17:13:06,5162.807568359374,141.53098433739552,5323.05712890625,4979.9091796875,1000.0,0.0
27,270000,2025-09-19T17:13:37,5107.941943359375,165.32211030925245,5280.6806640625,4734.00341796875,1000.0,0.0
28,280000,2025-09-19T17:14:07,5064.51142578125,119.45212026693156,5247.34326171875,4875.60400390625,1000.0,0.0
29,290000,2025-09-19T17:14:38,5131.716162109376,96.76672073950624,5302.91943359375,4976.09326171875,1000.0,0.0
30,300000,2025-09-19T17:15:08,4995.9005859375,183.6249044235301,5141.2578125,4631.14306640625,1000.0,0.0
31,310000,2025-09-19T17:15:38,5060.109619140625,154.39078890775437,5242.974609375,4706.31201171875,1000.0,0.0
